price,address,date_sold,bedroom,bathroom,carport,dwelling
390000,707/237 Adelaide Terrace,2018-10-18,1,1,1,Apartment
300000,61/418 Murray Street,2018-10-17,2,1,1,Apartment
320000,48/273 Hay Street,2018-10-10,2,1,1,Apartment
380000,22/152 Fitzgerald Street,2018-10-09,2,1,1,Apartment
1100000,8/82 King Street,2018-10-06,2,2,1,Apartment
715000,209 Brisbane Street,2018-10-06,2,1,0,House
320000,17/110 Mounts Bay Road,2018-10-05,2,1,1,Apartment
680000,232 Lake Street,2018-10-03,2,2,1,House
338000,33/229 Adelaide Terrace,2018-09-30,1,1,1,Apartment
315000,39/838 Hay Street,2018-09-30,1,1,0,Apartment
505000,31/262 Lord Street,2018-09-25,3,2,2,Apartment
177500,608/130A Mounts Bay Road,2018-09-25,1,1,0,Apartment
300000,"8, 151-155 Brisbane Street",2018-09-21,1,1,1,Apartment
343000,42/996 Hay Street,2018-09-19,2,1,1,Apartment
250000,1/29 Hill Street,2018-09-19,1,1,0,Apartment
306000,60/133 Lincoln Street,2018-09-18,2,1,1,Apartment
325000,10/996 Hay Street,2018-09-17,2,1,1,Apartment
738000,2203/237 Adelaide Terrace,2018-09-14,3,2,2,Apartment
365000,6/110 Mounts Bay Road,2018-09-06,2,1,1,Apartment
745000,148 Brisbane  Street,2018-09-06,2,1,0,House
560000,45/34 Palmerston Street,2018-09-06,2,2,1,Townhouse
430000,7/369 Hay Street,2018-09-04,2,2,1,Apartment
350000,177/369 Hay Street,2018-08-31,1,1,1,Apartment
442700,26/65 Milligan St,2018-08-30,2,2,1,Apartment
295000,25/255 Adelaide Terrace,2018-08-30,1,1,0,Apartment
818000,60 Palmerston Street,2018-08-29,2,1,0,House
805000,10/132 Terrace Road,2018-08-29,3,2,2,Apartment
395000,24/20 Pendal Lane,2018-08-27,2,2,1,Apartment
288000,626/305 Murray Street,2018-08-24,1,1,0,Apartment
430000,4/204 Lake Street,2018-08-24,2,1,1,Apartment
810000,9 Edith Street,2018-08-22,2,3,1,House
228000,Apt 414/305 Murray Street,2018-08-21,1,1,0,Apartment
260000,2H/811 Hay Street,2018-08-17,1,1,0,Apartment
245000,43/4 Bulwer Street,2018-08-11,2,1,1,Apartment
215000,30/33 Mounts Bay Road,2018-08-11,1,1,0,Apartment
540000,6/22 St Georges Terrace,2018-08-10,2,2,1,Apartment
560000,30/65 Milligan St,2018-08-09,2,2,2,Apartment
445000,27/10 Pendal Lane,2018-08-09,2,2,2,Apartment
399000,36/59 Brewer Street,2018-08-07,2,2,1,Apartment
560000,138/138 Barrack Street,2018-08-04,3,2,1,Apartment
455000,4/305 Bulwer Street,2018-08-01,2,1,1,Townhouse
400000,4/375 Hay Street,2018-07-31,2,2,1,Apartment
280000,73/418 Murray Street,2018-07-30,2,1,1,Apartment
250000,M8/811 Hay Street,2018-07-30,1,1,0,Apartment
1055000,144A Bulwer Street,2018-07-27,3,2,1,House
270000,18-60 Newcastle Street,2018-07-27,1,1,0,Unit
620000,8/19 Lindsay Street,2018-07-21,2,2,1,Apartment
343000,13/110 Mounts Bay Road,2018-07-19,2,1,1,Apartment
420000,53 'Ecco' 262 Lord Street,2018-07-19,2,2,1,Apartment
600000,3/22 Knebworth Avenue,2018-07-18,3,1,1,Townhouse
240000,1/75 Glendower Street,2018-07-18,1,1,0,Apartment
680000,9/65 Palmerston Street,2018-07-17,3,2,2,Apartment
240000,95/33 Mounts Bay Road,2018-07-17,1,1,0,Apartment
500000,G306/2 St Georges Terrace,2018-07-16,2,2,1,Apartment
490000,102/105 Stirling Street,2018-07-16,2,2,1,Apartment
395000,7/69 Milligan Street,2018-07-15,2,2,1,Apartment
